A,,,,
Cicayur,Banten,Daop I Jakarta,CC,Beroperasi
Cicurug,Jawa Barat,Daop I Jakarta,CCR,Beroperasi
Cigading,Banten,Daop I Jakarta,CGD,Beroperasi
Ciganea,Jawa Barat,Daop II Bandung,CA,Beroperasi
Cigombong,Jawa Barat,Daop I Jakarta,CGB,Beroperasi
Cijambe,Jawa Barat,Daop I Jakarta,CJE,Tidak beroperasi
Cijulang,Jawa Barat,Daop II Bandung,CIJ,Tidak beroperasi
Cikajang,Jawa Barat,Daop II Bandung,CKG,Tidak beroperasi
Cikadongdong,Jawa Barat,Daop II Bandung,CD,Beroperasi
Cikampek,Jawa Barat,Daop I Jakarta,CKP,Beroperasi
Cikampektrem,Jawa Barat,Daop I Jakarta,CKE,Tidak beroperasi
Cikaum,Jawa Barat,Daop III Cirebon,CKM,Beroperasi
Cikarang,Jawa Barat,Daop I Jakarta,CKR,Beroperasi
Cikawung,Jawa Tengah,Daop V Purwokerto,CKW,Tidak beroperasi
Cikeusal,Banten,Daop I Jakarta,CKL,Beroperasi
Cikini,DKI Jakarta,Daop I Jakarta,CKI,Beroperasi
Cikoya,Banten,Daop I Jakarta,CKY,Beroperasi
Cikudapateuh,Jawa Barat,Daop II Bandung,CTH,Beroperasi
Cilaku,Jawa Barat,Daop II Bandung,CLK,Tidak beroperasi
Cilamaya,Jawa Barat,Daop I Jakarta,CMA,Tidak beroperasi
Cilame,Jawa Barat,Daop II Bandung,CLE,Beroperasi
Cilacap,Jawa Tengah,Daop V Purwokerto,CP,Beroperasi
"Cilacap Pelabuhan
d.h. Tjilatjap-haven",Jawa Tengah,Daop V Purwokerto,CPH,Tidak beroperasi
Cilebut,Jawa Barat,Daop I Jakarta,CLT,Beroperasi
