,0,1,2,3,4
10,13,Lemahabang (LMB),Ls,21:08:00,
11,,14  Kedunggedeh (KDH),Ls,21:13:00,
12,15  Karawang (KW),,Ls,21:17:00,
13,16  Klari (KLI),,Ls,21:21:00,
14,17  Kosambi (KOS),,Ls,21:23:00,
15,18  Dawuan (DWN),,Ls,21:27:00,
16,19  Cikampek (CKP),,Ls,21:30:00,
17,20,Tanjungrasa (TJS),Ls,21:37:00,
18,21,Pabuaran (PAB),Ls,21:40:00,
19,22,Pringkasap (PRI),Ls,21:43:00,
20,23,Pasirbungur (PAS),Ls,21:46:00,
21,24  Cikaum (CKM),,Ls,21:49:00,
22,25,Pegadenbaru (PGB),Ls,21:54:00,// KA 304 (KA 304 =)
23,26  Cipunegara (CRA),,Ls,21:58:00,
24,27  Haurgeulis (HGL),,Ls,22:02:00,
25,28  Cilegeh (CLH),,Ls,22:08:00,
26,,29  Kadokangabus (KAB),Ls,22:13:00,
27,30,Terisi (TIS),Ls,22:17:00,
28,31,Telagasari (TLS),Ls,22:22:00,
29,32,Jatibarang (JTB),Ls,22:28:00,
30,,33  Kertasemaya (KTM),Ls,22:33:00,
31,,34  Arjawinangun (AWN),Ls,22:42:00,
32,35  Bangoduwa (BDW),,Ls,22:45:00,
33,36  Cangkring (CNK),,Ls,22:48:00,
34,37  Cirebon (CN),,22:53:00,22:56:00,
35,,38  Cirebon Prujakan (CNP),Ls,22:59:00,
36,,39  Waruduwur (WDW),Ls,23:05:00,
37,40  Babakan (BBK),,Ls,23:12:00,
38,41,Losari (LOS),Ls,23:17:00,
39,42,Tanjung (TGN),Ls,23:22:00,
40,43  Brebes (BB),,Ls,23:33:00,
41,44,Tegal (TG),Ls,23:40:00,// KA 32 (KA 32 =)
42,45,Larangan (LR),Ls,23:43:00,// KA 2708 (KA 2708 =)
43,46,Surodadi (SD),Ls,23:49:00,
44,47,Pemalang (PML),Ls,23:56:00,
0,No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,48,Petarukan (PTA),Ls,00:00:00,
2,49  Comal (CO),,Ls,00:05:00,
3,50,Sragi (SRI),Ls,00:08:00,
4,51,Pekalongan (PK),Ls,00:15:00,
5,52  Batang (BTG),,Ls,00:21:00,
6,53  Ujungnegoro (UJN),,Ls,00:24:00,
7,54  Kuripan (KRP),,Ls,00:32:00,
8,55,Plabuan (PLB),Ls,00:37:00,
9,56  Krengseng (KNS),,Ls,00:43:00,
10,57  Weleri (WLR),,Ls,00:46:00,
11,58  Kalibodri (KBD),,Ls,00:52:00,
12,59  Kaliwungu (KLN),,Ls,01:00:00,
13,60  Mangkang (MKG),,Ls,01:03:00,
14,61,Jerakah (JRK),Ls,01:07:00,
15,62,Semarang Poncol (SMC),Ls,01:10:00,
16,63,Semarang Tawang (SMT),01:15:00,01:18:00,
17,64  Alastua (ATA),,Ls,01:26:00,
18,65  Brumbung (BBG),,Ls,01:30:00,
19,66,Tegowanu (TGW),Ls,01:35:00,// KA 2524 (KA 2524 =)
20,67  Gubug (GUB),,Ls,01:39:00,
21,68  Karangjati (KGT),,Ls,01:46:00,
22,69,Sedadi (SDI),Ls,01:51:00,
23,70  Ngrombo (NBO),,Ls,01:54:00,
24,71  Gambringan (GBN),,Ls,01:56:00,
25,72,Jambon (JBN),Ls,02:03:00,
26,73,Panunggalan (PNL),Ls,02:06:00,
27,74  Kradenan (KNN),,Ls,02:11:00,
28,75,Sulur (SL),Ls,02:17:00,
29,76  Doplang (DPL),,Ls,02:22:00,
30,,77  Randublatung (RBG),Ls,02:33:00,
31,78  Wadu (WDU),,Ls,02:41:00,
32,79  Kapuan (KPA),,Ls,02:45:00,
33,80  Cepu (CU),,Ls,02:49:00,
34,81,Tobo (TBO),Ls,02:55:00,
35,82  Kalitidu (KIT),,Ls,03:03:00,
36,83  Bojonegoro (BJ),,Ls,03:12:00,
37,84  Kapas (KPS),,Ls,03:16:00,
38,85,Sumberrejo (SRJ),Ls,03:20:00,
39,86  Bowerno (BWO),,Ls,03:27:00,
40,87  Babat (BBT),,Ls,03:33:00,
41,88  Gembong (GEB),,Ls,03:36:00,
42,89,Pucuk (PC),Ls,03:39:00,
43,90,Surabayan (SBN),Ls,03:44:00,
44,91,Lamongan (LMG),Ls,03:49:00,
0,No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,92  Duduk (DD),,Ls,03:56:00,
2,93  Cerme (CME),,Ls,04:02:00,
3,94  Benowo (BNW),,Ls,04:05:00,
4,95  Kandangan (KDA),,Ls,04:08:00,
5,96,Tandes (TES),Ls,04:10:00,
6,97,Surabaya Pasarturi (SBI),04:15:00,,
