,0,1,2,3,4,5,6,7
16,198,193,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,SLO-TG,06:10:00,11:59:00,387
17,199,192,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,TG-SLO,12:03:00,16:40:00,388
18,200,201,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,YK-CP,10:20:00,13:28:00,389
19,201,202,KA EKSEKUTIF EKONOMI,JOGLOSEMARKERTO,CP-YK,06:00:00,09:03:00,390
20,202,203,KA EKSEKUTIF EKONOMI,TEGAL BAHARI,TG-PSE,16:00:00,20:30:00,393
21,203,204,KA EKSEKUTIF EKONOMI,TEGAL BAHARI,PSE-TG,10:40:00,15:05:00,394
22,204,208F,KA EKSEKUTIF EKONOMI,BATURRADEN EKSPRES,PWT-KYA,18:55:00,19:18:00,397
23,205,205F,KA EKSEKUTIF EKONOMI,BATURRADEN EKSPRES,KYA-BD,19:40:00,02:10:00,397
24,206,206F,KA EKSEKUTIF EKONOMI,BATURRADEN EKSPRES,BD-KYA,07:55:00,13:18:00,398
25,207,207F,KA EKSEKUTIF EKONOMI,BATURRADEN EKSPRES,KYA-PWT,13:39:00,14:04:00,399
26,208,209,KA EKSEKUTIF EKONOMI,MUTIARA TIMUR,SBI-KTG,09:00:00,15:30:00,401
27,209,210,KA EKSEKUTIF EKONOMI,MUTIARA TIMUR,KTG-SBI,22:00:00,04:10:00,402
28,210,211F,KA EKSEKUTIF EKONOMI,MUTIARA TIMUR,SGU-KTG,21:50:00,03:40:00,403
29,211,212F,KA EKSEKUTIF EKONOMI,MUTIARA TIMUR,KTG-SGU,08:40:00,14:38:00,404
30,212,213,KA EKSEKUTIF EKONOMI,KALIGUNG,SMC-BB,08:40:00,11:07:00,407
31,213,214,KA EKSEKUTIF EKONOMI,KALIGUNG,BB-SMC,11:50:00,15:00:00,407
32,214,215,KA EKSEKUTIF EKONOMI,KALIGUNG,SMC-TG,17:20:00,19:31:00,408
33,215,216,KA EKSEKUTIF EKONOMI,KALIGUNG,BB-SMC,04:50:00,07:18:00,408
34,216,217,KA EKSEKUTIF EKONOMI,KALIGUNG,SMC-CNP,05:00:00,08:50:00,409
35,217,218,KA EKSEKUTIF EKONOMI,KALIGUNG,CNP-SMC,09:20:00,13:43:00,409
36,218,219,KA EKSEKUTIF EKONOMI,KALIGUNG,SMC-TG,14:45:00,17:00:00,410
37,219,220,KA EKSEKUTIF EKONOMI,KALIGUNG,TG-SMC,17:55:00,20:06:00,410
38,220,221F,KA EKSEKUTIF EKONOMI,KALIGUNG,SMC-TG,21:00:00,23:35:00,411
39,221,222F,KA EKSEKUTIF EKONOMI,KALIGUNG,TG-SMC,20:30:00,22:43:00,411
40,222,223,KA EKSEKUTIF EKONOMI,PANGRANGO,SI-BOO,05:10:00,06:57:00,414
41,223,224,KA EKSEKUTIF EKONOMI,PANGRANGO,BOO-SI,07:45:00,09:30:00,414
42,224,225,KA EKSEKUTIF EKONOMI,PANGRANGO,SI-BOO,10:30:00,12:15:00,414
43,225,226,KA EKSEKUTIF EKONOMI,PANGRANGO,BOO-SI,12:40:00,14:25:00,415
44,226,227,KA EKSEKUTIF EKONOMI,PANGRANGO,SI-BOO,14:50:00,16:35:00,415
45,227,228,KA EKSEKUTIF EKONOMI,PANGRANGO,BOO-SI,17:00:00,18:45:00,416
46,228,229,KA EKSEKUTIF EKONOMI,PANGRANGO,SI-BOO,19:10:00,20:55:00,416
47,229,230,KA EKSEKUTIF EKONOMI,PANGRANGO,BOO-SI,21:20:00,23:05:00,416
2,230,231,KA EKSEKUTIF EKONOMI,BANYUBIRU EKSPRES,SLO-SMT,17:50:00,20:02:00,419
3,231,232,KA EKSEKUTIF EKONOMI,BANYUBIRU EKSPRES,SMT-SLO,21:15:00,23:17:00,419
4,232,233F,KA EKSEKUTIF BISNIS,SANCAKA UTARA,SBI-GBN,07:00:00,10:41:00,421
5,233,234F,KA EKSEKUTIF BISNIS,SANCAKA UTARA,GBN-SLO,10:46:00,11:56:00,421
6,234,235F,KA EKSEKUTIF BISNIS,SANCAKA UTARA,SLO-CP,12:00:00,15:58:00,422
7,235,236F,KA EKSEKUTIF BISNIS,SANCAKA UTARA,CP-SLO,17:10:00,21:37:00,422
8,236,237F,KA EKSEKUTIF BISNIS,SANCAKA UTARA,SLO-GBN,21:45:00,23:29:00,423
9,237,238F,KA EKSEKUTIF BISNIS,SANCAKA UTARA,GBN-SBI,23:34:00,02:58:00,424
10,238,240F,KA EKSEKUTIF EKONOMI,IJEN EKSPRES,KTG-BG,19:30:00,00:51:00,426
11,239,241F,KA EKSEKUTIF EKONOMI,IJEN EKSPRES,BG-ML,01:25:00,02:30:00,426
12,240,242F,KA EKSEKUTIF EKONOMI,IJEN EKSPRES,ML-BG,07:50:00,08:52:00,427
13,241,239F,KA EKSEKUTIF EKONOMI,IJEN EKSPRES,BG-KTG,09:20:00,14:55:00,427
14,242,245,KA EKONOMI,MAJAPAHIT,ML-PSE,17:45:00,06:42:00,430
15,243,246,KA EKONOMI,MAJAPAHIT,PSE-ML,17:40:00,06:28:00,432
16,244,250,KA EKONOMI,LOGAWA,KTG-SGU,06:15:00,12:03:00,437
17,245,247,KA EKONOMI,LOGAWA,SGU-PWT,12:48:00,20:20:00,438
18,246,248,KA EKONOMI,LOGAWA,PWT-SGU,06:45:00,14:00:00,439
19,247,249,KA EKONOMI,LOGAWA,SGU-KTG,14:45:00,21:20:00,441
20,248,251,KA EKONOMI,JAYAKARTA,SGU-PSE,13:50:00,02:35:00,444
21,249,252,KA EKONOMI,JAYAKARTA,PSE-SGU,17:10:00,06:00:00,446
22,250,253,KA EKONOMI,KERTAJAYA,SBI-PSE,22:30:00,09:03:00,451
23,251,254,KA EKONOMI,KERTAJAYA,PSE-SBI,14:30:00,01:25:00,453
24,252,255,KA EKONOMI,JAKA TINGKIR,SLO-PSE,23:35:00,07:43:00,457
25,253,256,KA EKONOMI,JAKA TINGKIR,PSE-SLO,11:50:00,20:00:00,459
26,254,257,KA EKONOMI,PROGO,LPN-PSE,13:10:00,20:45:00,462
27,255,258,KA EKONOMI,PROGO,PSE-LPN,23:20:00,06:40:00,463
28,256,259,KA EKONOMI,TAWANG JAYA,SMC-PSE,11:50:00,17:45:00,467
29,257,260,KA EKONOMI,TAWANG JAYA,PSE-SMC,18:25:00,00:20:00,468
30,258,261,KA EKONOMI,BLORA JAYA,CU-SMC,05:15:00,07:47:00,471
31,259,262,KA EKONOMI,BLORA JAYA,SMC-CU,19:35:00,22:04:00,471
32,260,263,KA EKONOMI,AMBARAWA EKSPRES,SBI-SMC,06:15:00,10:37:00,473
33,261,264,KA EKONOMI,AMBARAWA EKSPRES,SMC-SBI,11:40:00,16:28:00,473
34,262,265,KA EKONOMI,AMBARAWA EKSPRES,SBI-SMC,13:30:00,17:51:00,474
35,263,266,KA EKONOMI,AMBARAWA EKSPRES,SMC-SBI,08:30:00,12:55:00,475
36,264,267,KA EKONOMI,BANYUBIRU,SLO-SMT,08:55:00,10:49:00,478
37,265,268,KA EKONOMI,BANYUBIRU,SMT-SLO,06:05:00,08:05:00,478
