,ka_number,class_name,train_name,departure_time,arrival_time,origin_station_code,destination_station_code,origin_station_name,destination_station_name
152,156,KA EKSEKUTIF EKONOMI,RANGGAJATI,05:45:00,09:09:00,JR,SGU,Jember,Surabaya Gubeng
153,153,KA EKSEKUTIF EKONOMI,RANGGAJATI,09:45:00,19:23:00,SGU,CN,Surabaya Gubeng,Cirebon
154,154,KA EKSEKUTIF EKONOMI,RANGGAJATI,07:00:00,16:27:00,CN,SGU,Cirebon,Surabaya Gubeng
155,155,KA EKSEKUTIF EKONOMI,RANGGAJATI,16:58:00,20:25:00,SGU,JR,Surabaya Gubeng,Jember
156,158,KA EKSEKUTIF EKONOMI,WIJAYA KUSUMA,15:20:00,23:18:00,CP,SGU,Cilacap,Surabaya Gubeng
157,159,KA EKSEKUTIF EKONOMI,WIJAYA KUSUMA,23:48:00,05:40:00,SGU,KTG,Surabaya Gubeng,Ketapang (Banyuwangi)
158,160,KA EKSEKUTIF EKONOMI,WIJAYA KUSUMA,11:00:00,16:53:00,KTG,SGU,Ketapang (Banyuwangi),Surabaya Gubeng
159,157,KA EKSEKUTIF EKONOMI,WIJAYA KUSUMA,17:20:00,01:11:00,SGU,CP,Surabaya Gubeng,Cilacap
160,161,KA EKSEKUTIF EKONOMI,BANGUNKARTA,06:55:00,18:33:00,JG,PSE,Jombang,Pasar Senen
161,162,KA EKSEKUTIF EKONOMI,BANGUNKARTA,12:25:00,23:50:00,PSE,JG,Pasar Senen,Jombang
162,163,KA EKSEKUTIF EKONOMI,GUMARANG,15:00:00,01:10:00,SBI,PSE,Surabaya Pasarturi,Pasar Senen
163,164,KA EKSEKUTIF EKONOMI,GUMARANG,21:30:00,07:58:00,PSE,SBI,Pasar Senen,Surabaya Pasarturi
164,165,KA EKSEKUTIF EKONOMI,DHARMAWANGSA EKSPRES,23:00:00,09:20:00,SBI,PSE,Surabaya Pasarturi,Pasar Senen
165,166,KA EKSEKUTIF EKONOMI,DHARMAWANGSA EKSPRES,08:10:00,19:38:00,PSE,SBI,Pasar Senen,Surabaya Pasarturi
166,167,KA EKSEKUTIF EKONOMI,KERTANEGARA,08:25:00,17:22:00,ML,PWT,Malang,Purwokerto
167,168,KA EKSEKUTIF EKONOMI,KERTANEGARA,18:40:00,03:10:00,PWT,ML,Purwokerto,Malang
168,169,KA EKSEKUTIF EKONOMI,MALIOBORO EKSPRES,19:30:00,04:05:00,ML,PWT,Malang,Purwokerto
169,170,KA EKSEKUTIF EKONOMI,MALIOBORO EKSPRES,08:20:00,17:30:00,PWT,ML,Purwokerto,Malang
170,171,KA EKSEKUTIF EKONOMI,CIREMAI,07:55:00,12:51:00,SMT,CKP,Semarang Tawang,Cikampek
171,174,KA EKSEKUTIF EKONOMI,CIREMAI,13:20:00,15:12:00,CKP,BD,Cikampek,Bandung
172,173,KA EKSEKUTIF EKONOMI,CIREMAI,16:55:00,18:45:00,BD,CKP,Bandung,Cikampek
173,172,KA EKSEKUTIF EKONOMI,CIREMAI,19:10:00,00:00:00,CKP,SMT,Cikampek,Semarang Tawang
174,175,KA EKSEKUTIF EKONOMI,MENOREH,06:30:00,12:31:00,SMT,PSE,Semarang Tawang,Pasar Senen
175,176,KA EKSEKUTIF EKONOMI,MENOREH,13:35:00,19:22:00,PSE,SMT,Pasar Senen,Semarang Tawang
176,177,KA EKSEKUTIF EKONOMI,MENOREH,23:40:00,05:48:00,SMT,PSE,Semarang Tawang,Pasar Senen
177,178,KA EKSEKUTIF EKONOMI,TAWANGJAYA PREMIUM,06:45:00,12:53:00,PSE,SMT,Pasar Senen,Semarang Tawang
178,179,KA EKSEKUTIF EKONOMI,TAWANGJAYA PREMIUM,14:15:00,19:52:00,SMT,PSE,Semarang Tawang,Pasar Senen
179,180,KA EKSEKUTIF EKONOMI,TAWANGJAYA PREMIUM,23:50:00,05:40:00,PSE,SMT,Pasar Senen,Semarang Tawang
